발짓 0 1 2
어울렸을듯 0 1 5
예뻣다 2 4 3
독트 0 1 2
개낚였 4 0 3
보던걸 0 1 3
재밋는데 4 37 4
빡퉁쳐 0 1 3
훈훈하십니다 0 1 6
가봤을 0 4 3
순수함에 1 8 4
설긴하네요 1 0 5
뭉클해야 1 0 4
형국 1 0 2
씹노 3 0 2
드러내기 0 2 4
버리게끔 1 0 4
Ten 0 1 3
차거나 1 0 3
없었을까요 2 0 5
할거야 3 5 3
기발했다 2 1 4
느꼈다고 0 1 4
폐륜적 1 0 3
퍼귓 1 0 2
구걸 5 2 2
쌓였음 1 0 3
장법 0 1 2
이상했지 1 0 4
될만 6 17 2
보려니 3 3 3
알겠다만 6 0 4
못생겄다 1 0 4
였다는것 0 1 4
비하하는 12 0 4
성폭행 15 8 3
망설였던 1 3 4
떼기 6 3 2
씨발 46 5 2
찍은거지 1 0 4
건조한 4 5 3
벼 7 1 1
부채 1 0 2
라든가 7 2 3
즐기며 0 7 3
바꾸느라 0 1 4
탄소 0 1 2
흑흑뿌이뿌잉 1 0 6
차례 8 5 2
오글거리는건 2 0 6
뻗는게 1 0 3
본봐라 0 1 3
외피 0 2 2
없을걸 1 2 3
쩡 1 6 1
강인 9 4 2
넘어가면 4 0 4
낑겨서 1 1 3
훈장 4 1 2
배우신줄 1 0 4
같더라 8 3 3
줘야하는데 1 0 5
피어나길 1 0 4
암호 1 2 2
알수있겠다 1 0 5
캤습니다 0 1 4
건드렸다 2 0 4
나대지마라 2 0 5
바뀌면서 4 1 4
반가웠는지 1 0 5
정상 52 27 2
릭스 0 2 2
해있던 1 0 3
그러던 0 1 3
어나 11 6 2
안봣다 2 0 3
츄쳐 0 1 2
기억납니다 0 5 5
직소 1 0 2
진정한히어로다 1 0 7
박는다 0 1 3
당했다고 5 3 4
한계였다 2 0 4
불렸고 0 1 3
시청료 4 0 3
ㅋㅇ 2 0 2
밨았 0 1 2
ㅛㅜ 0 1 2
보지말아야 5 2 5
유친 1 0 2
147분 2 0 4
ssaki 1 0 5
Etude 0 1 5
평평한 0 1 3
정신차려여 1 0 5
섬기는 1 1 3
하자는거냐 8 0 5
괜찮았겠지만 1 0 6
가십 1 3 2
평등한 1 0 3
호열 1 0 2
안띤 1 0 2
웃더군요 1 0 4
잘하지 1 0 3
줄일 3 1 2
함아이의 1 0 4
지미뉴트론 0 1 5
일어나니 1 0 4
없이시길 1 0 4
방영금지 1 0 4
빠롤 0 1 2
석가모니 3 0 4
땜애 1 0 2
칠할 1 0 2
황추생 0 1 3
편협 11 4 2
봐랑 1 0 2
아니냐다 0 1 4
2.2 9 2 3
김영광 1 3 3
아렸어요 0 1 4
있나니 0 1 3
정당화 37 9 3
좋았으련만 0 1 5
나가는거 2 1 4
흔들려서 5 1 4
유리가면 3 0 4
난당 0 2 2
재미없었다는거 1 0 7
지렸습니다 1 2 5
지우니 2 0 3
치우다 1 0 3
감지 0 1 2
없어지지 2 2 4
흐규규규흐 1 0 5
일듯이 1 0 3
좋아하지 19 31 4
받아내는지 1 0 5
튼울나라 0 1 4
epic 0 1 4
휴먼 18 24 2
유명인사 1 0 4
가는구만 1 1 4
덜했을듯 0 1 4
보셨다 0 2 3
송삼동 2 0 3
again 0 4 5
2006.00 0 1 7
많은것이 0 2 4
이나주고본건데 1 0 7
갭이 2 1 2
한심하긴 0 1 4
빼긴 1 1 2
화끈하네 0 1 4
읽으셨다면 0 1 5
헷갈려서 1 1 4
bbbbbb 0 1 6
맞았나요 0 1 4
도망치면서 1 1 5
성관계 14 1 3
알려져있다 0 1 5
싶지는 5 4 3
김진규 0 1 3
웃찿사 1 0 3
내다보지 0 1 4
Galore 1 0 6
중국공산당 2 0 5
Adrien 0 1 6
관심 122 132 2
김범 9 3 2
있던거지가 1 0 5
출가 3 0 2
만드니 12 1 3
아이키도 1 0 4
했어야 38 4 3
빼어난 1 12 3
ㅕㅓㅓㅜ 1 0 4
일직선 0 1 3
나오고있어 2 0 5
잘봣는데 1 1 4
막고있냐 1 0 4
아쉬웠으나 1 1 5
산만함 16 0 3
보여준건데 0 1 5
아득한 0 1 3
순수한 25 193 3
더해진다 0 1 4
넘으 0 2 2
메하네 1 0 3
Childhood 0 1 9
낮춥시다 1 0 4
나온진 0 1 3
보시러 0 1 3
여경 3 1 2
피꺼솟 1 0 3
체육 0 2 2
35% 1 0 3
끄고나도 1 0 4
들이였나 1 0 4
짤린듯 1 0 3
샴페인 0 1 3
까먹는구나 1 0 5
22년 3 4 3
잠들었습니다 2 0 6
챙겨라 3 0 3
겪은것이고 0 1 5
모르면서 6 5 4
보보 2 1 2
체내 1 0 2
븐모슴 0 1 3
곤 37 25 1
고정관념 5 11 4
28분 5 2 3
맛있듯이 0 1 4
녀용 1 0 2
지나가지 2 0 4
나츠메 1 0 3
않디 1 0 2
남은이의 0 1 4
까짓 2 0 2
끗 5 4 1
해주셨으면 5 1 5
버디 3 10 2
무섭겟다 1 0 4
욕먹으라고 1 0 5
동호 29 5 2
달랐던 1 3 3
데드쉽 0 1 3
저릿저릿 0 1 4
그득할 1 0 3
포만 0 1 2
재밌는지는 1 0 5
소리굽쇠 0 2 4
우창 2 0 2
주겠군요 1 0 4
안녕하세요 8 8 5
82조 1 0 3
우웨볼 7 0 3
덜어지는 1 0 4
안량 1 1 2
수류탄 5 2 3
이현세 3 0 3
한덕 1 1 2
잇는가을 1 0 4
떠져 0 1 2
털끝 3 1 2
였다는 10 6 3
dadf 1 0 4
어울렸을까 0 1 5
인터폴 1 1 3
12% 0 1 3
화려했는데 2 0 5
가져올 0 1 3
웃어서 6 6 3
보낼까 0 3 3
아물에 0 1 3
내줬으면 2 2 4
비켜주는 0 1 4
괸히봤다 2 0 4
아물 1 0 2
커야 1 1 2
잼이었 0 1 3
따라하려다 5 0 5
맹기용 2 0 3
스러 45 21 2
잠자기 7 1 3
자립 1 2 2
원히라 1 0 3
엿되넼 1 0 3
잼있는데여 0 1 5
예약 4 3 2
죽였으면 3 0 4
짜증나게 67 9 4
신선하네요 0 14 5
마다선전하믄 1 0 6
바람난거 1 0 4
보등 1 0 2
깐 11 7 1
됐죠 1 2 2
변정민 1 0 3
복종 2 3 2
외로울 3 2 3
심보 14 3 2
분분 1 1 2
특별히 10 7 3
없었는 0 2 3
그렇거니와 1 0 5
로제 0 1 2
달았다 24 15 3
멜로영화 24 46 4
덥혀 0 1 2
지루한다는게 0 1 6
알짜 0 1 2
이지스함 4 0 4
정민아 1 1 3
이었는가 1 0 4
짓함 1 0 2
두렵지 1 3 3
fail 5 0 4
상관없으니 1 0 5
꾸며도 1 0 3
평 206 164 1
낮은거에 0 1 4
봐어요 0 1 3
싸하면서 0 1 4
믿어의 0 1 3
단추 4 2 2
이끌어내 0 1 4
나온닼 1 0 3
오글거린다던데나에겐 0 1 10
의심스럽고 2 0 5
해병대 8 5 3
힘든줄만 1 0 4
진달 0 1 2
말 2719 2469 1
당해도 6 2 3
내버렸다 1 0 4
캐머런 1 6 3
푸시 2 0 2
잇다 16 41 2
란다우 0 1 3
뽀뽀뽀 3 0 3
만드노 1 0 3
해유 0 1 2
진땅 1 1 2
동족 4 2 2
거북하면 0 1 4
쫓아온다 1 1 4
자건 1 4 2
구사해 1 0 3
진부하고말 1 0 5
이어져야 1 0 4
했을까요 2 1 4
보았더랬 1 0 4
까는 29 26 2
헤레브란트 0 1 5
설레어 0 1 3
드시는듯 0 1 4
차고 10 6 2
왕지혜 1 1 3
광해 8 15 2
돌리게만 1 0 4
냉정할 0 1 3
뜨라 0 1 2
됫나바 0 1 3
매기란 1 0 3
도반 1 0 2
END 0 1 3
불결해 1 0 3
사라졌잖아 1 0 5
주영 2 0 2
깔게 0 1 2
생긴다는걸 0 1 5
!.. 5 5 3
돋보이고 3 11 4
홍금버 0 1 3
많은거여 1 0 4
약소국 0 2 3
딴게 2 3 2
꿩 0 1 1
돋았던 0 2 3
안건 1 0 2
팩 2 1 1
신앙심 3 4 3
당했는데 4 2 4
너무슬펏음 0 1 5
돼있겠네 1 0 4
촌스럽겠지만 0 1 6
스티븐 47 39 3
;? 1 0 2
깨워주어서 1 0 5
패닉룸 1 1 3
얻고싶어 1 0 4
있을지는 0 1 4
긑나지 1 0 3
산거야 0 2 3
뛰어났던건 1 0 5
했던것보다 2 2 5
베토벤바이러스 1 2 7
에있어 1 0 3
다리는 2 3 3
더리 1 0 2
크윽 1 1 2
높겟다 1 0 3
역겨웠음 7 0 4
교범 0 1 2
떨어진다아아아 1 0 7
여쭤 0 1 2
꿈이었다는 1 0 5
김영인 0 1 3
악용 2 1 2
김현주 1 20 3
에이드리언 0 1 5
좋았었던 0 3 4
나온다는데 0 3 5
1000000000 1 0 10
보겟네 7 1 3
벗겨진 0 2 3
어케해 0 1 3
언제나 47 128 3
전형 278 64 2
같앗습니다 1 0 5
작자였다 1 0 4
조심해라니 0 1 5
끝내주더군요 0 1 6
좁았는데 0 1 4
차치하고 2 0 4
해칠 1 0 2
있는거랑 1 0 4
59분 1 1 3
해서도 4 5 3
밖에는 35 24 3
했는다는 1 0 4
참혹해도 1 0 4
나아가지 2 0 4
호세 2 5 2
기다려주다가 1 0 6
시공초월 1 0 4
찾아가자는 0 1 5
들어가있는거야 1 0 7
앗아가려는 0 1 5
풀고있는 1 0 4
틀렸었네요 0 1 5
더해 8 6 2
잇어야하는지에 1 0 7
짬좀 0 1 2
장황했는데 1 0 5
콰지모 0 2 3
chicken 0 1 7
유학 5 9 2
한가운데 3 1 4
지하실 4 6 3
무거워지네요 0 1 6
않으리 1 0 3
이빨요정 2 0 4
리렌 1 0 2
한혜진 6 6 3
아니다십라 1 0 5
쳤었다 0 1 3
자타공인 1 1 4
누르려고 0 1 4
결제해서 1 0 4
크레딧 19 37 3
돌아가네 1 0 4
에밀 3 4 2
놨으 2 0 2
흔해 28 10 2
에게는 61 120 3
다시하게 0 1 4
그랬나 14 0 3
해서오래 0 1 4
댔다 2 0 2
예제 1 0 2
허세있는 0 1 4
검색 68 78 2
비굴한 1 0 3
죄송하네요 1 0 5
경인선 1 0 3
웃겠어 1 0 3
오프닝 36 48 3
잇엇어 0 1 3
차우 3 1 2
성지인 1 0 3
매끄럽지가 3 0 5
49일 0 1 3
내보인 0 1 3
넘치던 3 4 3
가만있냐 1 0 4
어두웠던 0 1 4
가볍운 0 1 3
없었던듯 1 2 4
가써 2 0 2
넘었을거라 0 1 5
의례 0 2 2
외치 13 11 2
파이어 3 7 3
황홀경 1 1 3
놀랐다면 1 0 4
행복해지면 0 1 5
군번 1 2 2
역무 0 1 2
놔두고 11 2 3
걸판 1 0 2
싶지 89 23 2
들어섰는데 0 1 5
,,; 1 0 3
성숙한만큼 1 0 5
봉양 1 0 2
이거볼빠 4 0 4
유분수 4 0 3
티켓 12 3 2
자비 6 21 2
싶은지 11 0 3
남자인줄 1 1 4
하타 0 1 2
지수현 0 1 3
요홍 1 0 2
까는거 1 3 3
끼고있는 0 1 4
간지럽히는 0 1 5
범임 1 0 2
뒤엎어놓 0 1 4
펑크록 0 1 3
만드시길 2 0 4
하트 3 18 2
내놓는 4 1 3
카밀라 7 4 3
전해질 1 0 3
하셨네 5 0 3
표절논란 1 0 4
할것까지야 0 1 5
!!??!?!?!?!? 0 1 12
싫으신 0 1 3
Technicolor 0 1 11
넘냐 6 0 2
이머꼬 1 1 3
꼽아 1 2 2
뒤늦은 1 4 3
넓은 7 9 2
27년 2 6 3
저건 22 4 2
죽으니 1 0 3
많쩜이므니 0 1 5
진실되고 0 2 4
XXXX 1 0 4
날아갔어 1 0 4
갈테니 1 0 3
섹시하다거나 0 1 6
펼친 0 3 2
기대려는 1 0 4
심혈 0 4 2
높을줄은 1 1 4
말아먹을수 2 0 5
비율 9 4 2
보이는거 4 0 4
퀄리티왜 0 1 4
이긴하다 0 2 4
가막 1 0 2
소취 0 2 2
잡게 0 2 2
침 32 27 1
...-.-;;; 1 0 9
자극시킨다 1 0 5
신다 1 2 2
밤새가며 0 1 4
떨고있나 1 0 4
흘 1 2 1
ㄷㄷㄷㄷ 10 16 4
흐르면 1 2 3
틀어져있길래 0 1 6
이병준 1 0 3
쌓아서 0 1 3
하셨어도 0 1 4
잔인한듯 0 1 4
그린듯 2 0 3
웬즈데이 0 2 4
패리 3 0 2
잼있는지 1 0 4
변희봉 2 2 3
빠져들엇다 1 0 5
Where 0 2 5
다듬어지지 3 2 5
구지 17 8 2
전이군요 0 1 4
2013.6 0 1 6
싱겁군 1 0 3
루스 5 2 2
눕히고 2 0 3
지나도 12 100 3
않다 346 191 2
물이라는데 1 0 5
sagelord 0 1 8
좋아한건 1 1 4
해줄길래 0 1 4
이끌려서 0 1 4
그릴수있었을까요 0 1 8
요한슨 8 7 3
보던데요 0 1 4
boy 1 1 3
먹을만한 0 1 4
보는거에 1 0 4
역학 1 1 2
FRIENDS 0 1 7
꿈햇 1 0 2
으스스하다 0 1 5
조심하길 1 0 4
괜찬았 1 0 3
자채 0 1 2
모르는것은 1 0 5
안거든요 0 1 4
그리곤 2 1 3
좋아야하는데 1 0 6
맞춘다고 2 0 4
싸한 12 6 2
mathematical 1 0 12
가리지마라 1 0 5
완성형 0 4 3
시원시원하게 1 0 6
풀뉴 0 1 2
볼수있었는데 2 1 6
나타나다니 1 0 5
덴노 1 0 2
베스트셀러 6 4 5
골빈짓 1 0 3
쳐다보기 1 0 4
왕족 5 2 2
무질서 0 1 3
줄였더라면 0 1 5
아깝데 1 0 3
for 6 13 3
만나셨나 1 0 4
였죵 1 0 2
나아가야 0 9 4
~!!.. 0 1 5
되있네요 1 0 4
둘러싸고 1 4 4
내려놓은 2 1 4
드물었다 0 1 4
스임 1 0 2
높은거는 1 0 4
퍼머 1 0 2
가르고 1 1 3
때껏 1 2 2
60초 5 3 3
헷갈릴 1 0 3
괜찮던데용 0 1 5
미적지근했다면 0 1 7
몰르지만 1 0 4
출하지마라 0 1 5
껍 4 1 1
생존 14 36 2
나갔다가 1 0 4
졸렬 1 0 2
꿰찬것 1 0 3
여성호르몬 0 1 5
즐겨하는것도 1 0 6
재밌었겠죠 0 1 5
무능력함을 2 0 5
어두웠지만 0 1 5
마브 0 1 2
기몀비 0 1 3
깡 7 2 1
촬열 1 0 2
하지못하면서 0 2 6
노쟘 1 1 2
애등 0 3 2
없을지언정 1 0 5
윤제균 10 0 3
왜만들엇냐 2 0 5
ff 1 1 2
흘렸어요 0 4 4
졸은내용 1 0 4
병들을 0 1 3
忠義 1 0 2
읽었더라면 1 0 5
와리 1 0 2
야빠들 1 0 3
공구 2 0 2
겠지라고 1 1 4
모셔놓고 4 0 4
집어주는게 0 1 5
그려져서 1 1 4
희극인 0 1 3
비스티보이즈 0 1 6
용호 0 2 2
위성 17 5 2
어색하다 34 2 4
파고들어 1 1 4
헐뜯는 1 0 3
빨랑멈처 1 0 4
성하 3 4 2
겨겨 1 0 2
그렇잖아 2 0 4
1436만 0 1 5
집약 0 4 2
수천 6 7 2
살아듵 1 0 3
습역 1 0 2
조악해지다 1 0 5
촉법 1 0 2
잼엄슴 2 0 3
기레기 3 2 3
막가는 2 0 3
크롤 0 2 2
거녔다 0 1 3
성공함 2 0 3
좋다는거 1 0 4
알아보겠다 0 2 5
특별하지두 1 0 5
미는 20 11 2
드시는 1 0 3
인디밴드 1 3 4
빛나도 1 0 3
구애 2 6 2
)!! 0 1 3
줬을지도 1 0 4
작일줄은 0 1 4
부족한가요 0 1 5
주니 3 3 2
죽엇어 1 1 3
더러워도 1 0 4
http 0 1 4
급성 3 0 2
갖은데 0 1 3
드러내야만 0 1 5
막 240 133 1
섹시했는데 0 1 5
깨기 3 2 2
붙잡고있고 0 1 5
뺏었는데 0 1 4
?: 0 1 2
셀린느 0 5 3
후회맙시 1 0 4
ㅠㅇ 0 2 2
보태노코 1 0 4
하러가는 1 0 4
주희 1 1 2
비춘다 1 1 3
소권 0 2 2
어간 8 10 2
아프다가 0 1 4
Rose 0 1 4
환장하냐는 1 0 5
만나의 0 1 3
이로써 4 0 3
떨리네요 2 0 4
60분 7 4 3
일으킬수 1 0 4
무겁지 0 17 3
바꾸어야 1 0 4
솔드 1 0 2
중탕 1 0 2
잃어가는게 1 0 5
천신만고 2 1 4
ㅅㅇㄴ 1 0 3
하고있어 3 1 4
한지민 14 21 3
가라고하니까 1 0 6
불가능하지만 0 1 6
서막 3 9 2
등 260 266 1
이락 1 0 2
쿠리 1 1 2
디지니가 0 1 4
세대차이 2 1 4
호조 0 1 2
채우려고 4 0 4
을불 0 1 2
아깝더라 19 1 4
씁쓸했고 1 2 4
현명함이라니 0 1 6
곰플 0 1 2
오따꾸 1 0 3
즐거웠당 0 1 4
오만함과 1 0 4
이어진단 0 1 4
터맘 1 0 2
ㄱㄱ 25 17 2
짭스 1 0 2
재이있게 0 1 4
같아오 1 1 3
아버님 3 6 3
옹기종기 2 2 4
먹고살 1 1 3
Wicker 0 1 6
슬픕니다 3 10 4
떨린다 4 2 3
망쳐놨어요 0 1 5
나간거지 1 0 4
정종철 1 0 3
틀어놓는 1 0 4
진품 1 3 2
배리 6 4 2
sx 1 0 2
테닥존잘흐규 0 1 6
촉촉해 0 1 3
5.3 0 1 3
처녀성 1 0 3
나가시길 0 1 4
쥐는 4 2 2
조타 0 1 2
그을린 0 1 3
재밌어지는 1 6 5
넘치네요 2 9 4
끊기는듯 1 1 4
best 3 30 4
무인시대 0 1 4
강하나 1 0 3
부패한 5 3 3
사형선고 2 0 4
트레인스포팅 2 1 6
supe 1 0 4
홍코 1 0 2
떠나서라도 0 1 5
재밌넹 0 5 3
찌푸려지진 0 1 5
틈새시장 1 0 4
먹을수도 0 1 4
양심적병역거부 1 1 7
솔직해야지 2 0 5
겔겔 1 0 2
텔 6 4 1
확실했으나 1 0 5
페인터 1 0 3
해주겠다 2 0 4
하는듯 42 37 3
양돈 0 2 2
느끼실꺼에요 0 1 6
이태백 0 3 3
있었다 72 211 3
보내는데 0 1 4
천공 4 4 2
업섯 1 0 2
맟 1 0 1
휘태거 0 1 3
얄쭈 0 1 2
ㄷㅐ 1 1 2
설수 0 2 2
우냐고 0 1 3
천박한것 1 0 4
합필 0 1 2
무림 4 5 2
진지할 1 0 3
59년 0 3 3
좋아하므로 1 1 5
사납고 8 0 3
났다고 3 1 3
사랑받아 0 1 4
가급적 5 0 3
살아나있다 0 1 5
이렇고 2 0 3
각목 6 0 2
묻지 4 18 2
살아가지만 1 1 5
소득 3 2 2
둘렀다 1 2 3
섬세함 0 5 3
씁쓸하면서도 0 5 6
잇다고요 1 0 4
미쳐 23 16 2
극우 11 5 2
달지도 0 1 3
섹시함을 0 1 4
망친게 1 0 3
나을거다 1 0 4
참는거 0 1 3
들리면 0 1 3
다르네 8 6 3
모였네 3 1 3
벌더라도 0 1 4
재밋는줄 2 0 4
섹시함의 1 0 4
지루하기까지 12 1 6
난해하지만 3 5 5
케리 3 6 2
멈추게 1 0 3
내세울수 2 0 4
싹스 1 0 2
째째하게 0 1 4
있어라고 1 1 4
간과 6 6 2
작가 720 209 2
꺼이꺼이 1 6 4
허장강 0 2 3
꼭좀 0 2 2
심한건 2 0 3
재개발 0 3 3
들어주니 0 1 4
화려해진 1 2 4
암울하게 1 1 4
컸습니다 4 1 4
화학 6 5 2
섬뜩해지요 0 1 5
후벼파는 2 6 4
단신 3 0 2
괜찮았던건 1 0 5
문서 3 0 2
~~) 1 0 3
뭐말입 1 0 3
빨라 2 2 2
해줬을꺼다 0 1 5
필요해 5 17 3
태국어 2 0 3
할수있을만한 0 1 6
느리다 12 1 3
알고있기에 0 1 5
남기세요 3 1 4
잼나기만 0 3 4
재밌구먼 0 5 4
나타나니까 0 1 5
적성 3 1 2
하신가 1 0 3
쉽구나 2 1 3
방귀만 1 0 3
검다리 1 0 3
자질 31 3 2
긌 1 0 1
왔다가는 1 0 4
초등학생 93 56 4
아깝져 1 0 3
8-90년 0 3 5
찢어지냐 1 0 4
기교 9 7 2
그지같았고 1 0 5
날씨 5 7 2
재미있든데요 0 1 6
와이파이 1 0 4
리진 0 2 2
아름답도 0 1 4
움직여지고 0 1 5
둬라 3 0 2
투자 113 21 2
사각사각 1 0 4
예쁘지만 9 1 4
죽는걸 4 2 3
높았다는게 1 0 5
부실해서 1 1 4
베이비복스 0 1 5
아기자기한건 0 1 6
공무원 7 6 3
올릴테다 0 1 4
실패했다 4 1 4
옆방 1 0 2
안전벨트 6 2 4
적힌게 2 0 3
새기를 1 0 3
김수미 15 8 3
할거라곤 2 1 4
만들어진건 2 0 5
뜨시고 0 1 3
보는이나 1 0 4
해서이다 1 0 4
괜찮겠다 4 1 4
나갈거라 1 0 4
책스오 0 1 3
미치겠다는 1 0 5
봐야만 2 11 3
외워라 0 1 3
재밌어지다가 0 1 6
찾아봤을 0 1 4
끝나겟어 0 1 4
놈무 1 0 2
마타 1 1 2
티렉스 2 0 3
새장 1 2 2
짜다가 1 0 3
달건 0 1 2
하냐구요 0 1 4
사람 2676 2583 2
후리는구나 1 0 5
카비 0 5 2
빼다 3 1 2
불안해하면서 0 1 6
어린아이 3 5 4
다잊어 0 1 3
터지다는 0 1 4
우겨 1 0 2
전화 33 17 2
만들어줄꼐 1 0 5
액션쩌 0 1 3
톰과제리 3 5 4
...--; 1 1 6
시행 3 3 2
틀려먹어선 1 0 5
거창함과 1 0 4
믿겠군 1 0 3
찹 1 1 1
육아 6 8 2
마흔 3 7 2
기함 8 4 2
봤겠네 1 0 3
견디는게 1 0 4
전섹 0 1 2
올시다 0 1 3
쫓아가지말고 0 1 6
이렇지만은 1 0 5
보실수있습니다 0 1 7
8.0 0 10 3
그렇가 0 1 3
섹터 1 0 2
익혔나이다 1 0 5
칼 97 39 1
지나다 0 1 3
고야에 0 1 3
쉽지 39 41 2
무우 0 2 2
그득 0 1 2
쳐다보고있는게 1 0 7
줍든 1 0 2
웃겨주던가 1 0 5
꿀잼꿀잼꿀잼 0 1 6
자명한 0 1 3
빠들 8 0 2
피우면 0 1 3
caring 0 1 6
보면아마 0 1 4
신기한데 0 1 4
데칼코마니 1 1 5
지롱 3 3 2
딸린 8 3 2
먹하는 1 0 3
깎이지만 0 1 4
어설픈듯 0 1 4
굴복 2 6 2
허무했고 1 0 4
니나 6 1 2
BB 1 1 2
588 1 0 3
부터 1119 860 2
심장쫄리 0 1 4
가능했다고 0 1 5
벗어남의 0 1 4
보고싶네요 5 60 5
김재규 2 1 3
레즈 16 5 2
OTL 10 1 3
저질렀던 1 0 4
이랬다는걸 1 0 5
죽도아니고 1 0 5
생사람 0 2 3
대학교 15 16 3
오글거리는데다가 1 0 8
짙다고 0 1 3
곱씹음 0 1 3
농성 1 2 2
얼늘 1 0 2
흐르듯이 2 1 4
잘안가지만 0 1 5
쎈 10 2 1
옮기려니 0 1 4
모르겟다우리 1 0 6
ㄴㄷ 1 0 2
느낄줄은 0 1 4
많아지면 0 1 4
드높아짐 0 1 4
-! 1 4 2
망설였으나 0 1 5
後部よし、信 0 1 6
무섭나요 2 0 4
치수 0 1 2
장외룡 0 1 3
좋아했던건 1 0 5
몇개 34 18 2
나온건 13 8 3
주겠는데 2 0 4
400% 1 0 4
빌거리다 1 0 4
자극시켜 0 3 4
만들어놓음 1 0 5
시켰나 1 0 3
파악 30 21 2
바랜 0 1 2
헤어쇼 1 0 3
볼수있지 1 0 4
뿌듯하네요 0 1 5
넘어가는거 1 0 5
뫼산 1 0 2
왕씨 1 0 2
시시하구 1 0 4
갉아먹는 1 0 4
사죄 14 2 2
뒀으면 1 1 3
때리거나 1 0 4
전이래 1 0 3
황당하네 5 0 4
파라 41 11 2
보일거다 0 1 4
300등 1 0 4
연못 1 2 2
아리엘 0 1 3
잡힙니다 1 0 4
나오는데 61 36 4
해리포터 29 56 4
그려러니 1 1 4
충실하며 0 2 4
자신을되 0 1 4
가진지 0 1 3
잡힐려는 0 1 4
재밌기는하겠네 1 0 7
쿵후 9 2 2
피구왕통키 2 1 5
중요하냐 2 2 4
맡았다는 1 0 4
파인이 0 1 3
둘일때 1 0 3
않으세요 1 2 4
오셨는지 1 0 4
먹는모습 0 1 4
맑아진다 0 1 4
트니까 0 1 3
싸러 0 1 2
보신듯 2 1 3
말하나하나가 0 2 6
